HAA                ,HFE                ,KFE
-0.005255460739136 ,0.051942342041016  ,-0.07135112874603
-0.00521093280986  ,0.049051755187988  ,-0.06533904664612
-0.005194145254791 ,0.045376532791138  ,-0.05756481282806
-0.005158657208085 ,0.041005485771179  ,-0.048192340065
-0.005159675143659 ,0.036009841678619  ,-0.03738077275848
-0.005174286663532 ,0.030470603225708  ,-0.02529855363464
-0.005185622256249 ,0.024463110683441  ,-0.0120971977005
-0.005186055321246 ,0.018050068138123  ,0.00207344896698
-0.00520026916638  ,0.011305504558563  ,0.01706199057007
-0.005213256459683 ,0.004291945217133  ,0.03272370703125
-0.005244091618806 ,-0.002933270217896 ,0.04892162687683
-0.0052753794007   ,-0.010318345310211 ,0.06552676565552
-0.005300566088408 ,-0.017807847740173 ,0.08241121179962
-0.005337506532669 ,-0.025348371746063 ,0.09945444471741
-0.005377293564379 ,-0.032890564682007 ,0.11653880484009
-0.005425131414086 ,-0.04038644480896  ,0.13355271227264
-0.005475542508066 ,-0.047789639713287 ,0.15038566000366
-0.005528249777853 ,-0.055058128120422 ,0.16693488962555
-0.005573865491897 ,-0.062160736801147 ,0.18309990770721
-0.005613861139864 ,-0.069045669319153 ,0.19878224737549
-0.005636194720864 ,-0.075668818237305 ,0.21388797171021
-0.005657273810357 ,-0.081991976978302 ,0.22832385904694
-0.005661888513714 ,-0.087973422290802 ,0.24199656851196
-0.005679761990905 ,-0.093584126712799 ,0.25481776602173
-0.00571808218956  ,-0.098777658226013 ,0.26669566042328
-0.005744089372456 ,-0.103512174369812 ,0.27754299051666
-0.005767969880253 ,-0.107754594566345 ,0.28727452165985
-0.005796591751277 ,-0.111466175796509 ,0.29580013162994
-0.005813596304506 ,-0.114610976459503 ,0.30303351290131
-0.005851197987795 ,-0.117148763420105 ,0.30888597376251
-0.005860283505172 ,-0.119041091682434 ,0.31326918013
-0.005885750055313 ,-0.120245165111542 ,0.3160905063858
-0.005890805739909 ,-0.120724326850891 ,0.31725720770264
-0.005916976369917 ,-0.120450622322083 ,0.31662575609589
-0.005915563553572 ,-0.119582182647705 ,0.31442705995941
-0.005970736499876 ,-0.118116564037323 ,0.31073932058716
-0.00600251974538  ,-0.116049236537933 ,0.30563895113373
-0.00603237375617  ,-0.113392419101715 ,0.29920570261383
-0.006066086702049 ,-0.110161012889862 ,0.29151682264709
-0.006101289764047 ,-0.106375164272308 ,0.28264848596954
-0.006122966296971 ,-0.102053529502869 ,0.27267734415436
-0.006158399861306 ,-0.097225374462128 ,0.26168398268127
-0.006201757118106 ,-0.091924494983673 ,0.24974803335571
-0.006234246771783 ,-0.086201853038788 ,0.23695341951752
-0.006268440745771 ,-0.080096132041931 ,0.22338585264587
-0.00631164200604  ,-0.073648697616577 ,0.20913104421997
-0.006337204016745 ,-0.066894597293854 ,0.19427482492828
-0.006343153305352 ,-0.05988711762619  ,0.17891041643524
-0.006346326787025 ,-0.052666193725586 ,0.16313044435883
-0.006361549254507 ,-0.04528111863327  ,0.14703289873505
-0.006362332496792 ,-0.037772959949493 ,0.13071541197205
-0.006377876270562 ,-0.030200607063293 ,0.11428443796539
-0.006394414696842 ,-0.022618896247864 ,0.09784809954071
-0.006410973146558 ,-0.01507819342804  ,0.08151738054657
-0.006431253626943 ,-0.007627314807892 ,0.06540552980804
-0.006439498160034 ,-0.000326818706512 ,0.04963402159119
-0.006438941229135 ,0.006770246742249  ,0.0343259990921
-0.006434307899326 ,0.013598376033783  ,0.01961342699432
-0.00642018718645  ,0.020092123268127  ,0.00562993891144
-0.006391964387149 ,0.02618580412674   ,-0.00748713605499
-0.006374824326485 ,0.03180741619873   ,-0.01959570043182
-0.006356768775731 ,0.03688418221283   ,-0.03055055730438
-0.006339100655168 ,0.0413435037117    ,-0.04020519845581
-0.006304640788585 ,0.045118981121063  ,-0.04841013543701
-0.006290195975453 ,0.048143022773743  ,-0.05501587979889
-0.006250918842852 ,0.050339692352295  ,-0.0598734199295
-0.006109653040767 ,0.051659100769043  ,-0.06282837979889
-0.00611926196143  ,0.052018218753815  ,-0.06373901956177
-0.004990605309606 ,0.054001146076202  ,-0.06433745019531
-0.003704262897372 ,0.053686850784302  ,-0.06573613278961
-0.004766240250319 ,0.053863876579285  ,-0.07068248384094
-0.005908610764891 ,0.05430304360199   ,-0.07877369515991
-0.006431927438825 ,0.054421776054382  ,-0.08357473008728
-0.006208058446646 ,0.054055326698303  ,-0.08289595239258
-0.005999422632158 ,0.053686493156433  ,-0.08221788995361
-0.005817133001983 ,0.0533223683815    ,-0.08154650323486
-0.005705745425075 ,0.052974396465302  ,-0.0808912097702
-0.005598386749625 ,0.052631610153198  ,-0.08023973100281
-0.005490863230079 ,0.052295201538086  ,-0.07959051721191
-0.005408199969679 ,0.051973694084167  ,-0.07894166104889
-0.005329457577318 ,0.051664345977783  ,-0.07829101674652
-0.005270921625197 ,0.051375144241333  ,-0.07765181653595
-0.00521461898461  ,0.051103406665802  ,-0.07702870957947
-0.005148607306182 ,0.050848239181519  ,-0.07642217271423
-0.005114488769323 ,0.050621562717438  ,-0.0758453189621
-0.005077076610178 ,0.050414555786133  ,-0.07527990930176
-0.005059917923063 ,0.050235801456451  ,-0.0747477590332
-0.00503893615678  ,0.050082736728668  ,-0.07424100034332
-0.005021655466408 ,0.049953871486664  ,-0.07375224225616
-0.005008295644075 ,0.049849265335083  ,-0.07329900853729
-0.004992310423404 ,0.049765818832397  ,-0.07288094155884
-0.005008892156184 ,0.049710982559204  ,-0.07249649160004
-0.004998094867915 ,0.049675279376984  ,-0.07214577787018
