t,x,y,z,qw,qx,qy,qz,x_v,y_v,z_v,wx,wy,wz,left_arm_pitch,left_shoulder_abad,left_shoulder_yaw,left_elbow,left_hip_yaw_joint,left_hip_abad_joint,left_hip_pitch,left_knee,left_ankle,right_arm_pitch,right_shoulder_abad,right_shoulder_yaw,right_elbow,right_hip_yaw_joint,right_hip_abad_joint,right_hip_pitch,right_knee,right_ankle,left_arm_pitch_v,left_shoulder_abad_v,left_shoulder_yaw_v,left_elbow_v,left_hip_yaw_joint_v,left_hip_abad_joint_v,left_hip_pitch_v,left_knee_v,left_ankle_v,right_arm_pitch_v,right_shoulder_abad_v,right_shoulder_yaw_v,right_elbow_v,right_hip_yaw_joint_v,right_hip_abad_joint_v,right_hip_pitch_v,right_knee_v,right_ankle_v
0,0,0,0.101246474,0.656387343105296,-0.0679270354005481,-0.74736854160603,-0.0773423344006241,0,0,0,0,0,0,0.2868285335081,0.444781888049658,-0.0441517648718745,-0.9797380203,-0.166593448319978,0.0677297546298415,0.133098355523568,0.1580971597,0.733986362818014,0.249060173150143,0.475938260662366,0.257005170112753,-0.3911293793,-0.0515010844898783,0.108505835905349,0.057015178452837,0.2890195429,0.610534072315912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0166660007,2.323244e-05,-0.00014660968,0.10109001,0.656353261221858,-0.0673443316022427,-0.747443408524891,-0.0774176242025782,0.00139400210153597,-0.00879693230782116,-0.00938821513430004,0,0,0,0.288993417717693,0.44117977347134,-0.050763654812172,-1.004042565,-0.171132360318591,0.0697098944905073,0.129963105705948,0.163807877,0.731950489305053,0.250595727509662,0.477841731463551,0.250506760561566,-0.3877574513,-0.0466424373015959,0.107008509973022,0.0521307355842116,0.2988684358,0.607166123305106,0.129898243049608,-0.21613551104185,-0.396729248925175,-1.45833095398826,-0.272345602302322,0.118813139175364,-0.188122506056356,0.342656729877613,-0.122157291938743,0.0921369431790885,0.114212811786602,-0.389920153500728,0.202323764452981,0.29153048027188,-0.0898431458920486,-0.293078282939558,0.590957187467298,-0.202085015561375
0.0333320014,6.111868e-05,-0.00030799643,0.101043782,0.6561213270238,-0.066741531402421,-0.747691387827122,-0.0775110365028116,0.00227326523513226,-0.00968359193696662,-0.00277379083513391,0,0,0,0.288509738697102,0.439879054081531,-0.0516914347184107,-1.0237296628,-0.173266317573936,0.0706194822774052,0.128936667266707,0.1670315001,0.730637679823524,0.252562713901184,0.480434831188682,0.243987941745392,-0.3787412255,-0.0416754545411993,0.105519743084045,0.0464064752759768,0.312057889,0.601614917156897,-0.0290219008925751,-0.0780462819618794,-0.0556690187969746,-1.18127306930931,-0.12804255164498,0.0545774480195418,-0.0615887673183893,0.193425114880741,-0.0787717164519532,0.118023899490322,0.155592200661024,-0.391144758332667,0.540995165084806,0.298030874341471,-0.0893295827701245,-0.34346934284209,0.791398814713837,-0.333085678330103
0.0499980021,0.00011353573,-0.00051359105,0.101132682,0.655570916763234,-0.0661783471962886,-0.74819809535804,-0.0777612342956391,0.00314514867385071,-0.012336170128686,0.00533421314448817,0,0,0,0.287192211005874,0.440756839733274,-0.0500023951042318,-1.0187363176,-0.173571571968587,0.0711106495038592,0.130347187303426,0.1676004774,0.729496099506364,0.255397569949884,0.483548441197914,0.23766153934758,-0.3641722136,-0.0359934881683792,0.103444711080627,0.0403591917512086,0.3282545446,0.593303489792879,-0.079054820346165,0.0526692436622656,0.101346426451242,0.299612683923634,-0.0183159955496342,0.0294712111978959,0.0846345840318547,0.0341400021662063,-0.0684975560549346,0.170098159704255,0.186824065669932,-0.379599311898042,0.874175644310394,0.340931605314292,-0.124506895251582,-0.362851510306738,0.971838168709545,-0.498705569118219
0.0666640028,0.00017459596,-0.0007842072,0.101287368,0.654946085088658,-0.0657022075988623,-0.748735649287034,-0.0782545399986449,0.00366376019652993,-0.016237617822733,0.00928153087141146,0,0,0,0.284951510199555,0.443397565241384,-0.0497775244326948,-0.9870956052,-0.172313330299427,0.0713935017417591,0.132811784691557,0.1669547056,0.729394788186851,0.2581200821818,0.486225203952171,0.232296065183003,-0.349558387,-0.0292385451017796,0.100337051281982,0.0332276297275563,0.3474688741,0.582459878771917,-0.134447420629177,0.158449861826149,0.0134927794367004,1.89851860500642,0.0754975168793927,0.0169718124336749,0.147881752346923,-0.0387478562868415,-0.00607892207237268,0.163357261344415,0.160612182997014,-0.321941314005615,0.876864633757035,0.40531277948402,-0.186467038768611,-0.427910819879681,1.15290583781147,-0.650642659637126
0.0833300035,0.00020834576,-0.00111271251,0.101440276,0.65445582880885,-0.0653832588008841,-0.749100284910129,-0.0791287606010699,0.00202506891770381,-0.0197111062163822,0.00917484660851955,0,0,0,0.283501661066477,0.447642928880555,-0.0581268219537558,-0.9560512472,-0.170689608979586,0.0720353677238403,0.134981011581405,0.1658900548,0.728481350067669,0.260040301716185,0.488409117306013,0.228452149679696,-0.3343642536,-0.0214369070489133,0.095823235886062,0.0243091225880139,0.3696136118,0.571858039404037,-0.0869944241079149,0.254731996931396,-0.500977869337362,1.86273591120154,0.0974271721854068,0.0385134978472214,0.130158814276789,-0.0638816005809967,-0.054808477188044,0.115217775934996,0.131040037328371,-0.230644146277214,0.911684433086579,0.468116988190589,-0.270839745969791,-0.535131811169455,1.32873735568726,-0.636135780786326
0.0999960042,0.0002462194,-0.00148248205,0.10168564,0.653918236390488,-0.0651553658990523,-0.749473880289098,-0.0802160904988333,0.00227250920492281,-0.0221870589505015,0.0147224282787907,0,0,0,0.284794620479402,0.452779415226789,-0.075326033956603,-0.9382155037,-0.169309127452973,0.0731986873524185,0.137258518204216,0.1652966427,0.726896281423071,0.261392089086957,0.490907349062066,0.225290317231739,-0.3148429422,-0.0133015182387125,0.0905373032954017,0.013591744688068,0.3961007285,0.563796816681553,0.0775806647437091,0.308201495889408,-1.03199395658536,1.07018737254704,0.08283220140586,0.0698019668616805,0.136655857863391,-0.0356061487504915,-0.0951079189981312,0.0811104832590078,0.149899895063181,-0.189717527610424,1.17132548782384,0.488142833823405,-0.317168628863688,-0.643068369722673,1.58929050687007,-0.483692690741543
0.1166620049,0.00032702369,-0.00188626655,0.102066132,0.653163656929951,-0.0649257846029772,-0.750037063334394,-0.081279046403727,0.00484845113441043,-0.0242280381039465,0.022830432258412,0,0,0,0.290158795018551,0.45833510104336,-0.093745089275616,-0.933960661,-0.168298070836137,0.0745813414930758,0.13990840270584,0.1659633585,0.723550875596693,0.262980615268479,0.493371824322315,0.221992812573308,-0.2951383077,-0.00579549804822658,0.0853496293137458,0.001238951034221,0.4273683021,0.560622032960712,0.321863333364008,0.333354469172116,-1.10518748022211,0.255300763307899,0.0606658210950199,0.0829625634575513,0.158999423396442,0.0400045465016688,-0.200732370446711,0.0953153795032375,0.147874424381177,-0.197858185523233,1.18232531335487,0.450379207681534,-0.311272876740964,-0.741197235989973,1.87612938237786,-0.190494635035121
0.1333280056,0.00045567347,-0.00233031666,0.102508854,0.652322603313571,-0.0645678445013433,-0.750674132215617,-0.0824291325017149,0.0077192952475995,-0.0266440712437988,0.0265643814595539,0,0,0,0.297584687525872,0.463881137155997,-0.11042094864427,-0.9385090816,-0.168207180199135,0.0762802044316902,0.141855006186703,0.1690054676,0.716859987851933,0.26406676567004,0.495857491467197,0.217942701107527,-0.2758686126,-0.000282281823014975,0.0807295380617351,-0.0138968983308956,0.4641336627,0.561628471055818,0.445571354579437,0.332775463800212,-1.00059154375617,-0.272916141183172,0.00545365613733459,0.101935849469537,0.11680087598113,0.182533839687166,-0.40146930659618,0.0651716282215814,0.149145988268354,-0.24301639839612,1.15622790655469,0.330806191866511,-0.277216552139636,-0.908187251253181,2.20600978373894,0.0603886987179787
0.1499940063,0.00066575593,-0.00282261406,0.103084926,0.651232787998964,-0.0640186466998982,-0.751511986698805,-0.0838284113998666,0.0126054512886226,-0.0295390243203338,0.0345657011762874,0,0,0,0.30573225439705,0.468947762416376,-0.125555483677061,-0.9467045442,-0.166637560256297,0.0774760679186635,0.143313541376078,0.1746865143,0.709540996060807,0.264715842407062,0.497949290731416,0.213623012689503,-0.2592455142,0.00370967466450287,0.0765514984458726,-0.0314556498705512,0.5065695983,0.56666684123105,0.488873546679862,0.304009663240853,-0.908108388162388,-0.491747405242821,0.0941809598530819,0.0717546763917598,0.0875156083111735,0.340876422740101,-0.439157055305132,0.0389461604320067,0.125512971100388,-0.259191661861813,0.997425759138483,0.239526960269349,-0.250692394118433,-1.05356719081715,2.54625787937235,0.302314290388349
