t,x,y,z,qw,qx,qy,qz,x_v,y_v,z_v,wx,wy,wz,left_arm_pitch,left_shoulder_abad,left_shoulder_yaw,left_elbow,left_hip_yaw_joint,left_hip_abad_joint,left_hip_pitch,left_knee,left_ankle,right_arm_pitch,right_shoulder_abad,right_shoulder_yaw,right_elbow,right_hip_yaw_joint,right_hip_abad_joint,right_hip_pitch,right_knee,right_ankle,left_arm_pitch_v,left_shoulder_abad_v,left_shoulder_yaw_v,left_elbow_v,left_hip_yaw_joint_v,left_hip_abad_joint_v,left_hip_pitch_v,left_knee_v,left_ankle_v,right_arm_pitch_v,right_shoulder_abad_v,right_shoulder_yaw_v,right_elbow_v,right_hip_yaw_joint_v,right_hip_abad_joint_v,right_hip_pitch_v,right_knee_v,right_ankle_v
0,0,0,0.61735723,0.994728365015269,-0.00491095390007538,0.102426103401572,0.000505675600007771,0,0,0,0,0,0,0.0495067726987191,0.288259213657652,0.565056083527721,-0.3062459426,-0.0372058283153898,0.104066088346169,-0.166099311358132,0.1566712257,-0.227902988642854,0.0746378112469138,0.346169352793896,0.347434030435676,-0.6249465548,-0.180802561242983,0.0917868768163796,-0.15022147645463,0.0965201984,-0.356011956533749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0166660007,0.0003513006,-0.00074163362,0.617245216,0.9947202319198,-0.00582726890011599,0.102360368702038,0.00447862320008915,0.0210788782698179,-0.0444997953228215,-0.00672110856205221,0,0,0,0.088898850032532,0.294674112383696,0.540334480218208,-0.3058270636,-0.0218679762187065,0.106291777546879,-0.169736423442147,0.1657312299,-0.234934755153302,0.134715051804692,0.330871574784821,0.330066173700148,-0.6061447135,-0.17961869518531,0.0890565696811952,-0.149550995031627,0.1008747947,-0.360644107510783,2.36361908552019,0.3849093037686,-1.48335547048865,0.0251337442941535,0.920307899464048,0.133546688301147,-0.218235445292821,0.543621974046839,-0.421922849820076,3.6047784732049,-0.917903358126891,-1.04211304488475,1.12815555683974,0.0710348018690037,-0.163824974229384,0.0402304929101871,0.261286218474718,-0.277940164555133
0.0333320014,0.00053983573,-0.00150608262,0.617062082,0.994695602653378,-0.00662433670035548,0.102336963605492,0.00799513010042904,0.0113125598272656,-0.0458687728244245,-0.0109884790776554,0,0,0,0.133606545773715,0.297835138131026,0.502608464548555,-0.2920616519,-0.00679155617393812,0.107798982559023,-0.173283161163293,0.1738400295,-0.239717037094184,0.179766998949572,0.332203622848112,0.32090898000286,-0.5835224924,-0.175478082764172,0.0861345356565024,-0.150160673733976,0.1073866183,-0.364543395234582,2.6825689345605,0.189669123638637,-2.2636513911615,0.825957705618002,0.904621349545985,0.0904359143669399,-0.212812766841287,0.486547417461707,-0.286948382336382,2.70322484415112,0.0799260774836549,-0.54945357690331,1.3573875044899,0.248446672700418,-0.175329047279641,-0.0365821838918282,0.390725028590692,-0.233966612265829
0.0499980021,0.00036501472,-0.00230528578,0.617022966,0.99460402206345,-0.00771675879971642,0.10285307349622,0.0111595788995899,-0.0104896797466233,-0.0479541057501576,-0.0023470537835721,0,0,0,0.20913780496158,0.308196574339892,0.481574477612387,-0.2834676506,0.00372583416062231,0.110377020870151,-0.176260556194269,0.1770252554,-0.242098421907184,0.214621804464869,0.311844626907484,0.313841305154442,-0.5642792286,-0.169394898314065,0.0814486326696705,-0.153675793850793,0.1160539233,-0.368131595989775,4.53205664319122,0.621711014860691,-1.26208964674817,0.515660682769561,0.631068636314196,0.154688479709937,-0.178650840388817,0.191121190820543,-0.142888798330598,2.09137189795613,-1.22158856867371,-0.424077436191254,1.15464196518364,0.365005651902224,-0.281165414017521,-0.210915634775983,0.520059080520739,-0.215300648294882
0.0666640028,-0.00022305136,-0.00313776813,0.617006964,0.994433468791164,-0.00837803759992556,0.104229233999074,0.0129673209998848,-0.0352853747330036,-0.0499509369395382,-0.000960158366005555,0,0,0,0.242698819217609,0.316072574764717,0.451238174014179,-0.2812283931,0.00128351059882359,0.113295077304779,-0.178096746708316,0.1717177091,-0.240429011606892,0.267801614544149,0.293318786301481,0.312091451837135,-0.5407885702,-0.164658170180695,0.0772913016558908,-0.162419553122404,0.1288436961,-0.372915468184442,2.01374132043744,0.472578908797531,-1.82025094947993,0.134360818789599,-0.146545269363796,0.175090382339169,-0.110175833248791,-0.318465503244578,0.100168620555223,3.19091610738263,-1.11159485346732,-0.10499539444443,1.40949582463416,0.28421504466697,-0.249449828343025,-0.52464652012226,0.767417032449782,-0.28704380137623
0.0833300035,-0.0012589038,-0.00424165273,0.61694829,0.994111388207663,-0.0078874805000608,0.107304794900827,0.0128847382000993,-0.0621536299347449,-0.0662357226470055,-0.00352058067536481,0,0,0,0.29340686106117,0.325945997170825,0.423332613468138,-0.27630831,-0.0106305639596555,0.115326442814524,-0.179441009269042,0.1562663094,-0.232492806828126,0.317162239918124,0.274963923717028,0.313618367421046,-0.5209456498,-0.15703168948006,0.074755835396196,-0.178696331778726,0.1473372049,-0.38062664645006,3.04260408698778,0.592429016645124,-1.67440053845915,0.295216782272184,-0.714873038405613,0.121886800937491,-0.0806589766149113,-0.927121027902033,0.476191314378545,2.96175586827947,-1.10133576224154,0.0916185959305224,1.1906227989058,0.457607127103706,-0.15213405455424,-0.976645744189966,1.1096548675892,-0.462689184071511
0.0999960042,-0.00287501991,-0.00508682909,0.616882504,0.993582878049527,-0.00604396810030127,0.112269086005596,0.0123364186006149,-0.0969708413608791,-0.0507126079743894,-0.00394731772691913,0,0,0,0.343215218237538,0.332319169018849,0.398601742786121,-0.2769959696,-0.0245027919044552,0.113935237442701,-0.184558339407501,0.1384726776,-0.222019452641772,0.360830881024539,0.258593054756165,0.31619526525859,-0.5009788111,-0.157467681912759,0.0754366227651138,-0.20526517244344,0.1742065487,-0.391189159236481,2.98862084989397,0.382405591044023,-1.48391153505813,-0.0412612247160173,-0.832366936406029,-0.0834756578296795,-0.307052077494466,-1.06766056958104,0.628426361841764,2.62022316526215,-0.982291388051063,0.154620048560534,1.19805819400932,-0.026160591286879,0.0408488743743895,-1.59419414069232,1.61222504928852,-0.633776091610296
0.1166620049,-0.00496843522,-0.00570992562,0.616614026,0.992881303059771,-0.00373191370022466,0.118381398207127,0.0125950551007582,-0.125609937721891,-0.0373872857211629,-0.0161093236963539,0,0,0,0.391156091024615,0.334292684368103,0.372552285273985,-0.2802038848,-0.0360896003740569,0.111087245298973,-0.195907559901292,0.1271507266,-0.215608605239317,0.400868226586713,0.242943368288688,0.314637834281665,-0.4838079897,-0.158015204629383,0.0768730598039644,-0.238019397230326,0.2068721309,-0.403777260714401,2.87656730910114,0.118415652607927,-1.56302990627714,-0.192482603219861,-0.695236288427715,-0.17088635690073,-0.680980440243911,-0.679344205235753,0.384666214639937,2.40233672630138,-0.939018709358243,-0.0934495926743181,1.03029045234589,-0.0328526757246636,0.0861896662977237,-1.96533201794995,1.96001325020945,-0.755316269602724
0.1333280056,-0.00764955415,-0.00640740072,0.616142856,0.9920488313345,-0.00151843360005281,0.125189538204354,0.0128214715004459,-0.16087356398587,-0.0418501782494225,-0.0282713296657954,0,0,0,0.395538315073105,0.326244134845681,0.352519900617482,-0.2832459937,-0.0506183451976779,0.108287082835196,-0.215085987799893,0.1263443845,-0.211658667312843,0.435939642793811,0.247394972340647,0.306982620306518,-0.4620407077,-0.150535245081638,0.0773189835605997,-0.275149373636148,0.2447963903,-0.415606638713654,0.262943949623778,-0.482932268352893,-1.20199110855091,-0.182533827686684,-0.871759523184285,-0.168016461428419,-1.15075165565068,-0.0483824592663088,0.237005745864006,2.10436905880473,0.267106916175729,-0.459331192464613,1.30608910870861,0.448815506634706,0.0267564945341247,-2.22788760628231,2.27554649028666,-0.709791041785634
0.1499940063,-0.01065907087,-0.00733747917,0.615620124,0.991086938584953,0.000492113599992529,0.132429986197989,0.0144477245997806,-0.180578218744465,-0.055806936933586,-0.0313651732895925,0,0,0,0.393461560794816,0.318576451562688,0.354059736721186,-0.2834309986,-0.0621887489867489,0.105545947504711,-0.242522433832019,0.138469187,-0.211538156491602,0.493722056107658,0.233157361520445,0.297220411825813,-0.4439438533,-0.144867530772012,0.0773035822197546,-0.315273614485568,0.2870089236,-0.427184569246959,-0.124610235873179,-0.460079380831473,0.0923938580960122,-0.011100737563272,-0.694251968264411,-0.164474691908831,-1.64625254288672,0.727517220133082,0.00723093820831284,3.46708333654678,-0.854290784963326,-0.585755914477132,1.08585465258021,0.340076447352257,-0.00092411737658649,-2.40755065187414,2.5328532057484,-0.694703590964409
