t,x,y,z,qw,qx,qy,qz,x_v,y_v,z_v,wx,wy,wz,left_arm_pitch,left_shoulder_abad,left_shoulder_yaw,left_elbow,left_hip_yaw_joint,left_hip_abad_joint,left_hip_pitch,left_knee,left_ankle,right_arm_pitch,right_shoulder_abad,right_shoulder_yaw,right_elbow,right_hip_yaw_joint,right_hip_abad_joint,right_hip_pitch,right_knee,right_ankle,left_arm_pitch_v,left_shoulder_abad_v,left_shoulder_yaw_v,left_elbow_v,left_hip_yaw_joint_v,left_hip_abad_joint_v,left_hip_pitch_v,left_knee_v,left_ankle_v,right_arm_pitch_v,right_shoulder_abad_v,right_shoulder_yaw_v,right_elbow_v,right_hip_yaw_joint_v,right_hip_abad_joint_v,right_hip_pitch_v,right_knee_v,right_ankle_v
0,0,0,0.5932724,0.998678104545125,0.0141040014764563,0.0494230051737735,-0.000698000073069094,0,0,0,0,0,0,-0.302187216225645,0.331495720200407,0.442746118495021,-0.581348,-0.184576336058198,0.00441432909061869,0.15680246693396,0.391532,-0.298862140065704,0.26240213961234,0.108922563620332,0.0821149401155669,-0.170571,-0.0836930839402701,-0.0641310282476476,-0.514130943882187,0.249116,-0.0195765016989189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.033332,0.029078,-0.0033054,0.5926095,0.998607534593203,-0.00378700202732853,0.0520870278841988,0.00745600399148706,0.8723748949958,-0.0991659666386655,-0.0198877955118178,0,0,0,-0.284439096384344,0.337255229318448,0.447539474055967,-0.567259,-0.195550812809439,0.0669781462325402,0.114278692287936,0.530791,-0.268207287506336,0.252430640233871,0.0860447024353497,0.0766432543680036,-0.181505,-0.0409543479778223,-0.0892129574826717,-0.501113897408848,0.297771,0.00871395910274912,0.532464893834794,0.17279218522866,0.143806419085137,0.4226869074763,-0.329247472436146,1.8769895938414,-1.2757642699515,4.1779371174847,0.919682364075615,-0.299156947631959,-0.686363290081082,-0.164157138712447,-0.328033121324853,1.28221336740813,-0.752487976569785,0.390527015280808,1.45970838833553,0.848747773961
0.066664,0.0572075,-0.0073507,0.5937771,0.998381694641012,-0.025317992256392,0.0508179844571185,0.00324399900781008,0.84391875675027,-0.121363854554182,0.0350294011760451,0,0,0,-0.245374681855507,0.345595251471213,0.402967406137583,-0.537007,-0.219956885094546,0.139587173563008,0.044002920129481,0.712218,-0.167524839806631,0.225396679417161,0.0652664807320472,0.118035195292128,-0.175611,-0.0195069658641473,-0.143864337838675,-0.488399370760656,0.372718,-0.0331471914474003,1.1719793150377,0.250210673009871,-1.33721552617256,0.907596303852152,-0.732211457011479,2.17835795423221,-2.10835749905362,5.44302772110884,3.02059425476135,-0.81105126655198,-0.623371585962515,1.24180790003974,0.176827073082924,0.643447201298299,-1.6396069949599,0.381451057488056,2.2484999399976,-1.25588475189456
0.099996,0.0818741,-0.0095102,0.5954557,0.998125460425899,-0.035345016304324,0.0499400230368635,0.00151300069793302,0.740027601104044,-0.0647875915036602,0.0503600144005786,0,0,0,-0.201548685849707,0.344386698956266,0.346462460430928,-0.51218,-0.198690358633726,0.166862106913518,-0.0484936156964602,0.922391,-0.0543265934419442,0.173151066940557,0.0629893830387695,0.159760494375611,-0.171311,-0.0061903058600831,-0.16962688178503,-0.456643796324621,0.397767,-0.0778230675623781,1.31483247347296,-0.0362580257694459,-1.69521617984684,0.744839793591745,0.638021314677169,0.818280731744578,-2.77500707506124,6.30544221768871,3.39608323426997,-1.56743107154098,-0.0683156634248669,1.25180904486628,0.129005160206408,0.399515780753157,-0.772907234680045,0.952705341294693,0.7515000600024,-1.3403298966452
0.133328,0.1052296,-0.0110467,0.598304,0.998022390023872,-0.0394799758704383,0.0483039704773468,0.00770499529082389,0.700693027721109,-0.0460968438737549,0.0854524180967213,0,0,0,-0.157784276683519,0.330226722123997,0.29916697904181,-0.472483,-0.154364930964019,0.174934129896804,-0.147709827465836,1.104664,0.101669523171307,0.122762652957923,0.0713537942627915,0.180304292138743,-0.179649,-0.0292396394500238,-0.17806245678522,-0.405741899702652,0.393465,-0.118381450544519,1.31298479437742,-0.424816297619988,-1.41892119852148,1.19095763830553,1.32981602273212,0.242170376313622,-2.97660541729797,5.46840873634946,4.6800707012256,-1.51171288799452,0.250942374415635,0.616338586437418,-0.25015000600024,-0.69150766800494,-0.253077373100618,1.52711798337839,-0.129065162606503,-1.21680016147068
0.16666,0.1281455,-0.0121443,0.6020448,0.998157716145446,-0.0400089886223055,0.0438359875339894,0.0126039964156949,0.687504500180007,-0.0329293171726869,0.112228489139569,0,0,0,-0.117930334503273,0.315929817986527,0.270990561461981,-0.416804,-0.124110236201568,0.181316357609502,-0.24105816777825,1.236012,0.292153258827645,0.0819609620320678,0.0863183549625019,0.192759265279539,-0.208505,-0.0449504060339883,-0.174792908253682,-0.345766058756835,0.376282,-0.146073855081099,1.19566609205105,-0.428924281095328,-0.845326340448492,1.6704368174727,0.907677149959554,0.191474490360547,-2.8005622318617,3.94059762390496,5.71474065931649,-1.22409969176334,0.448954779182481,0.373664140789501,-0.865714628585143,-0.471341851192982,0.0980903795613313,1.79934720226261,-0.515510620424817,-0.830805368312126
0.199992,0.1506813,-0.0126294,0.6056029,0.998502300056976,-0.0367590110463418,0.0391100117528341,0.0105990031850751,0.676101044041762,-0.0145535821432857,0.106747269890793,0,0,0,-0.0742918134930629,0.300004444765334,0.234858778900964,-0.360897,-0.11209332223991,0.178991741561155,-0.320514198538007,1.319879,0.327338472061612,0.041599843810892,0.112515800452515,0.217609752213922,-0.249767,-0.0485207655047607,-0.164027408574455,-0.283802781265013,0.349541,-0.168122361313916,1.30920799862625,-0.477780307848126,-1.08399683670397,1.67727709108364,0.360521839723311,-0.0697412711012597,-2.38377627384365,2.51611064442577,1.05559862096386,-1.21088198191455,0.785954802892515,0.74554442980868,-1.23790951638066,-0.107115068725922,0.322977909493181,1.85897268366203,-0.80226209048362,-0.661481646250367
0.233324,0.1729392,-0.0125566,0.6085611,0.998902796729295,-0.0322849934301982,0.0335349931758308,0.00512699895668659,0.667763710548422,0.00218408736349453,0.0887495499819999,0,0,0,-0.0228312827016411,0.283408384344565,0.187484659343531,-0.315752,-0.111118160003173,0.173812240789083,-0.386686460754386,1.35773,0.258717051022194,-0.000797195418389595,0.146349238463288,0.258382943921223,-0.301327,-0.0552109778095109,-0.150050820736793,-0.217590244815755,0.316161,-0.184790185427497,1.54387767884981,-0.497901728692199,-1.42128043794053,1.35440417616705,0.0292560373436239,-0.155391238811699,-1.98524727638244,1.13557542301692,-2.05872498018173,-1.27196205536066,1.01504374207288,1.22324468100629,-1.54686187447498,-0.200714397718414,0.419314407706172,1.98645555169979,-1.0014400576023,-0.500054725596454
0.266656,0.193886,-0.0121023,0.6106058,0.999129141321831,-0.0268760038014766,0.0318330045026196,-0.00230200032560646,0.628429137165487,0.0136295451818073,0.0613434537381498,0,0,0,0.0304281496587796,0.267643131112827,0.127130606660187,-0.280577,-0.117246662441081,0.165113317264316,-0.454570075485741,1.35116,0.165654978507344,-0.0533072819936332,0.183790631204795,0.312109188291971,-0.352334,-0.0666130241623302,-0.132189752520175,-0.16383799620522,0.287503,-0.202457298495063,1.59784688468801,-0.472976516012784,-1.81069400826064,1.05529221168847,-0.183862427634365,-0.260978144868807,-2.03658990553686,-0.197107884315378,-2.7919738543997,-1.57536561188178,1.12328671371375,1.61185180519466,-1.53027121084843,-0.342075073587522,0.535853480637751,1.6126319635946,-0.85977439097564,-0.530034593410735
0.299988,0.2143652,-0.0120218,0.611723,0.999193593321296,-0.0233839904825541,0.0307909874678551,-0.0108289955925239,0.614400576023041,0.00241509660386418,0.0335173406936256,0,0,0,0.0846817723666794,0.255293048368592,0.0571772043433367,-0.251617,-0.129722451359932,0.160029418182334,-0.512395073280399,1.300627,0.0506772521079856,-0.10915005091652,0.216455317566644,0.368649853740592,-0.402912,-0.0815154387682138,-0.117694246409321,-0.112132156167338,0.259261,-0.219017255223063,1.62767378818852,-0.370517303019184,-2.09868601694619,0.868834753390137,-0.374288639111079,-0.152523073382384,-1.73481932661282,-1.51605064202568,-3.44946977077157,-1.67535008168989,0.979979790047072,1.69628781497121,-1.51740069602784,-0.447090321789382,0.434882578628793,1.55123725062649,-0.84729389175567,-0.496818574582972
0.33332,0.2339449,-0.0114968,0.6119008,0.99912962691008,-0.019703992642235,0.0306649885492354,-0.0202829924260278,0.587414496579862,0.0157506300252009,0.00533421336853824,0,0,0,0.135271182410445,0.241121922517902,-0.0179055442810811,-0.226492,-0.14755945332852,0.153333632295887,-0.556271338479662,1.199265,-0.0458671194477785,-0.170737703246156,0.245983636563984,0.423343037211476,-0.445196,-0.0893840783202974,-0.102042137374269,-0.0698665496171264,0.240155,-0.237333411046146,1.5177430110334,-0.425150781551953,-2.252572561635,0.753780151206048,-0.535131464316217,-0.20088161185791,-1.31634060960227,-3.04098163926557,-2.89644700455311,-1.84770347802818,0.88588500532041,1.64086113857208,-1.26857074282971,-0.236068629307679,0.469582054333713,1.26801891726303,-0.573202928117125,-0.549506654958676
