t,x,y,z,quat1,quat2,quat3,quat4,L_hip_yaw,L_hip_roll,L_hip_pitch,L_knee,L_ankle_pitch,R_hip_yaw,R_hip_roll,R_hip_pitch,R_knee,R_ankle_pitch,L_shoulder_pitch,L_shoulder_roll,L_shoulder_yaw,L_elbow,R_shoulder_pitch,R_shoulder_roll,R_shoulder_yaw,R_elbow
0.0333333015,0.0,0.891301,0.0,0.9816711459,-0.0532053315,-0.0234831303,-0.1814924145,0.115036366928233,-0.13022304125532957,0.05255744232703652,0.7526034269,-0.10446982445626328,0.15289935620621964,0.2536803139591294,5.706825349223484,0.1598707633,-0.15126454472010462,0.12492122798485017,0.47303856035003655,0.27240024818623204,-1.8032567295,0.7436416745146954,0.46467017743196104,-0.08325713661718248,-1.8873414569
0.066666603,0.0906141633,0.863859,0.0053269535,0.9856672906,-0.0594293372,-0.0303935042,-0.1549334731,0.1388166826994012,-0.11123796287499457,0.03780282533280621,1.0006845268,-0.10809504758293821,0.16071230832649236,0.2121246967689459,5.7247222978036145,0.3511078857,-0.02964528992694526,0.1671761142754744,0.4396469307662257,0.28864894092201077,-1.6936814684,0.6302931311413409,0.5175635683824501,-0.03440578985483214,-1.8584108793
0.09999990450000001,0.1755108587,0.832859,0.0099698816,0.9898667028,-0.0675229197,-0.0441932974,-0.1168397129,0.16119164100415873,-0.10206733470418887,0.009809161311348902,1.2685314805,-0.11454613343273279,0.17940306435982703,0.14490767843689434,5.7338898823374755,0.6588181596,0.02420614602270456,0.21300756728169645,0.4114240255232706,0.3066159212069896,-1.5758228746,0.48371348385981294,0.565712599204078,0.03399292361709405,-1.8266476322
0.133333206,0.2597550902,0.809412,0.0133347398,0.992775379,-0.0687409264,-0.0490236894,-0.0852549693,0.1616100138156869,-0.05867853276998327,6.222006722079771,1.5013147696,-0.10657399308509913,0.17918006199751121,0.13240883982914056,5.838792592498578,0.7868450415,0.024945467383960175,0.2712392356202571,0.3824078239407427,0.2932353266503088,-1.4772170086,0.3024565145977527,0.6036845372528961,0.1300061539610778,-1.7850128028
0.1666665075,0.3454104074,0.802301,0.0160199164,0.9938753538,-0.0520529927,-0.055972749,-0.0798080097,0.12550964534720108,-0.03794268089640283,6.087098054537059,1.6247130377,-0.11449848578069506,0.14081460257563716,0.11508637374574725,5.940723482847151,0.8039614855,0.004064452810108544,0.3756705477895088,0.35649684690430117,0.24494894688523994,-1.4494592922,0.1250803564898364,0.6232912433973449,0.22710142509771383,-1.7933834019
0.199999809,0.4340135914,0.814647,0.0162697891,0.9936131937,-0.0210354013,-0.0653612047,-0.0895446594,0.051576017564948805,-0.04967227004167448,5.936935489452702,1.6077257481,-0.14129173323982688,0.06379211103085065,0.11240936688553912,6.05673516082868,0.7046190898,-0.03861575828584006,0.49167887447085956,0.33566719637485204,0.1889540147797955,-1.4697103475,6.270989153867723,0.6443999286412214,0.2888738588582456,-1.8445040959
0.2333331105,0.5283560516,0.841471,0.0155507814,0.9919842703,0.0139546898,-0.0697776698,-0.1044200692,-0.04900173956252364,-0.060989127344618796,5.818254764998695,1.4590708204,-0.1843870542218995,-0.021416099011279256,0.1180768910077733,6.1781144757616415,0.5479653174,-0.07614609727573096,0.6025233254923452,0.33677932793215787,0.14476685409101042,-1.4939320269,6.1885620659861384,0.6550013239634095,0.31467568199116985,-1.9062102114
0.266666412,0.6260460554,0.873411,0.014250759,0.9886450901,0.0428029627,-0.0730574345,-0.1241426742,-0.10959617817569169,-0.09608432907260119,5.737256866714535,1.2186744051,-0.18852872064688952,-0.09653934864128517,0.14030217189402444,6.25567050467203,0.4252791429,-0.12392256554526768,0.6937274212342563,0.3417248435943302,0.10184012601335747,-1.5149300831,6.1446348323470374,0.6521816978059605,0.33639652089294847,-1.9597272424
0.29999971350000004,0.7249145948,0.900708,0.0138649,0.986494116,0.0527666509,-0.0678800489,-0.1394178564,-0.13111046942441698,-0.1217261637546357,5.7007753535771375,0.9290317796,-0.18546217697160006,-0.14040745463580864,0.23592846740548426,0.01654294336232942,0.3534029936,-0.18687065654093918,0.7593633702803011,0.3497596396678355,0.0713097887541601,-1.5348949044,6.119786295320953,0.6395146024380314,0.3639964559710476,-2.0017251001
0.33333301500000007,0.8216798653,0.915422,0.0147459052,0.9856572543,0.0401746379,-0.0598801387,-0.1525783223,-0.11104864528983509,-0.13584667200210154,5.678066175413104,0.6406702261,-0.17067679492631765,-0.1250886259676734,0.27966692097229684,0.055558180813628955,0.3424440714,-0.12658576423296486,0.7889938602085884,0.362760871946824,0.0573662877334709,-1.5486306456,6.109935468702286,0.6317177274490443,0.39582498070743366,-2.0347397483
