t,x,y,z,quat1,quat2,quat3,quat4,L_hip_yaw,L_hip_roll,L_hip_pitch,L_knee,L_ankle_pitch,R_hip_yaw,R_hip_roll,R_hip_pitch,R_knee,R_ankle_pitch,L_shoulder_pitch,L_shoulder_roll,L_shoulder_yaw,L_elbow,R_shoulder_pitch,R_shoulder_roll,R_shoulder_yaw,R_elbow
0.033332,0.0,0.847532,0.0,0.998678,0.014104,-0.000698,-0.049423,-0.056265849644379834,-0.17396915362613294,0.16208048911192208,0.391532,0.13799207915367304,0.017822546661364888,0.1238147379408122,5.767723714229289,0.249116,-0.06511160138086916,6.123548904920429,0.3595394600615062,0.3201416845338412,-0.581348,0.26787413919621184,0.15325481313572606,0.16830623506696904,-0.170571
0.066664,0.04154,0.846585,0.004722,0.998607,-0.003787,0.007456,-0.052087,0.009936647760272106,-0.17751285614302575,0.11934269248867979,0.530791,0.171299001098129,0.05144315887378855,0.10041545756225144,5.782999415072526,0.297771,-0.019372456906891947,6.148396644614083,0.335013038669035,0.32066946207060787,-0.567259,0.27230356014498636,0.1562768952308895,0.15567863134850204,-0.181505
0.099996,0.081725,0.848253,0.010501,0.998382,-0.025318,0.003244,-0.050818,0.08774696771382318,-0.18450986879117284,0.04982624121821111,0.712218,0.20702810311323194,0.09961603778506455,0.11648590451863516,5.799325123409772,0.372718,-0.03691985454623244,6.164411652635987,0.2964129523908233,0.2822770347889095,-0.537007,0.25651783644983617,0.16810387824440592,0.18221432441770014,-0.175611
0.133328,0.116963,0.850651,0.013586,0.998125,-0.035345,0.001513,-0.04994,0.13314692449124838,-0.14627160413855098,6.239977279263487,0.922391,0.21762375743354515,0.12653966272022404,0.1173035926805038,5.833504671825661,0.397767,-0.03126716525606848,6.193824482883532,0.26620997015528847,0.23348972693384848,-0.51218,0.22374911210628934,0.1824557366740968,0.22067867914738137,-0.171311
0.16666,0.150328,0.85472,0.015781,0.998023,-0.03948,0.007705,-0.048304,0.15572810321593444,-0.08493153707705936,6.1411021989121295,1.104664,0.21507820376433537,0.13386582627869856,0.13838014134354665,5.88436712354782,0.393465,-0.04019871819159826,6.219029920708755,0.2428955709565343,0.1925809782069731,-0.472483,0.17874065325781796,0.19101372367938668,0.24628594047243582,-0.179649
0.199992,0.183065,0.860064,0.017349,0.998158,-0.040009,0.012604,-0.043836,0.16665048481186454,-0.03687752194530147,6.049261090107654,1.236012,0.20661392002710896,0.1365728343970259,0.14378434433097304,5.943696944778701,0.376282,-0.04442115584755589,6.24223350416941,0.2262145714986385,0.1760311214891601,-0.416804,0.1364974186105612,0.20056479067464314,0.2571910152293818,-0.208505
0.233324,0.215259,0.865147,0.018042,0.998502,-0.036759,0.010599,-0.03911,0.1654317483938025,-0.012955341110898083,5.970703194294,1.319879,0.17416293004228378,0.13550566691384303,0.13310066943360668,6.004809215910443,0.349541,-0.048288155604301386,6.270572811306743,0.21804566772997255,0.1555022134185721,-0.360897,0.09820074349658814,0.21227893758509692,0.2766375329184021,-0.249767
0.266656,0.247056,0.869373,0.017938,0.998903,-0.032285,0.005127,-0.033535,0.1615980132373356,-0.004169785053406249,5.904926784711505,1.35773,0.13886081441933865,0.1312112782068985,0.1241744747514496,6.069998436272096,0.316161,-0.058570826132976705,0.021230901339293062,0.21424721101602956,0.12287849321724084,-0.315752,0.061632148872717174,0.22883254578103515,0.3108356740782563,-0.301327
0.29998800000000003,0.27698,0.872294,0.017289,0.999129,-0.026876,-0.002302,-0.031833,0.15659143277654333,-0.004791030428842477,5.837024322441987,1.35116,0.11538452518271858,0.12145192823795879,0.12105580969746599,6.122715165122245,0.287503,-0.07903292053221447,0.0590838345560214,0.2096082609002566,0.07631674197077039,-0.280577,0.02625615651372737,0.25384285737626017,0.3556317984084385,-0.352334
0.33332000000000006,0.306236,0.87389,0.017174,0.999194,-0.023384,-0.010829,-0.030791,0.1570056702798588,-0.01108750476820112,5.779338134860227,1.300627,0.08123728619191643,0.11493880915400306,0.12424877102600054,6.173851373301975,0.259261,-0.10336281828485441,0.09626315475335989,0.20558432097202256,0.01785759375708999,-0.251617,6.273985883941982,0.28044915049961294,0.4026377287787973,-0.402912
0.3666520000000001,0.334207,0.874144,0.016424,0.99913,-0.019704,-0.020283,-0.030665,0.15927328377410271,-0.025654362119298245,5.73513316488819,1.199265,0.045934266051439486,0.10605570486169233,0.12205219921020737,6.215661463017845,0.240155,-0.12287384474879919,0.13182379633489294,0.20076814397133957,-0.047910678859837734,-0.226492,6.236805364473642,0.3061576721925599,0.4472605051073334,-0.445196
0.3999840000000001,0.361691,0.873592,0.015198,0.998956,-0.016598,-0.027387,-0.032576,0.15932674319406448,-0.040673112653678636,5.704132454009569,1.048789,0.013100078863385205,0.09679651549289063,0.11741371476725085,6.2473599843848335,0.231233,-0.13335376209085503,0.16500464889708155,0.1945654823305332,-0.10474799813991964,-0.201398,6.195529488849394,0.3264950576745554,0.4807541751775248,-0.47723
0.43331600000000015,0.388657,0.872127,0.013846,0.998692,-0.015501,-0.032195,-0.036591,0.16043723843017438,-0.05674726608794551,5.68690435569105,0.862441,-0.013412624364199587,0.09098252324477882,0.11325073502593413,6.272929553872828,0.225576,-0.13985763977028134,0.1936529727277092,0.18882344654269537,-0.1506562902922948,-0.176832,6.153062180067005,0.33850847141987084,0.4973122283660734,-0.502864
0.4666480000000002,0.416207,0.869892,0.012817,0.998279,-0.017793,-0.036593,-0.042243,0.16865523273868913,-0.0846263209051439,5.681634787953795,0.655004,-0.022825998187520007,0.09165717429378327,0.10630631131825835,0.015355634800502838,0.215766,-0.14329944780481052,0.216008824463366,0.18408215086633245,-0.19119327597221206,-0.155149,6.115976411945798,0.34594572223397196,0.5035409775825054,-0.526946
0.4999800000000002,0.445316,0.867059,0.011915,0.997844,-0.022831,-0.040443,-0.046376,0.1796359926091808,-0.12641500532807987,5.690322935317778,0.442624,0.010276124160651372,0.09695208092023473,0.10295429173909121,0.046918803123146,0.20607,-0.1505591763701175,0.2381972862622268,0.1782103731441398,-0.2358698759109292,-0.146415,6.088491594841235,0.3521620565225221,0.5110326793465573,-0.545359
